zip;city;sex;age;category;magenta_1;sim_4g;arpu
6100;Kiskunfélegyháza;;;TSS;0;0;1
4130;Derecske;M;50;LAK;0;0;1
2330;Dunaharaszti;F;;LAK;0;0;1
1015;Budapest;;;SH+;0;1;1
1173;Budapest;F;;LAK;0;0;1
2086;Tinnye;M;26;LAK;0;0;1
9492;Fertőhomok;F;42;LAK;0;1;5
1031;Budapest;M;27;LAK;0;0;1
3530;Miskolc;M;20;LAK;0;1;4
1023;Budapest;M;78;LAK;0;1;1
2161;Csomád;M;47;LAK;0;0;3
6050;Lajosmizse;;;LAK;0;0;1
2440;Százhalombatta;;;SH+;0;0;1
2011;Budakalász;M;;LAK;0;0;1
1042;Budapest;;;SH+;0;0;1
5600;Békéscsaba;M;46;LAK;0;1;2
1087;Budapest;;;TSS;0;1;1
1181;Budapest;F;45;LAK;0;1;1
1034;Budapest;;;TSS;0;0;1
5430;Tiszaföldvár;F;40;LAK;0;0;1
4551;Nyíregyháza;M;68;LAK;0;0;1
4220;Hajdúböszörmény;F;76;LAK;0;0;1
3519;Miskolc;;;SMB;0;1;1
9400;Sopron;M;42;LAK;0;1;1
8000;Székesfehérvár;F;63;LAK;0;1;1
8971;Zalabaksa;;;TSS;0;1;1
2310;Szigetszentmiklós;F;27;LAK;0;1;1
8973;Csesztreg;M;25;LAK;0;1;2
3950;Sárospatak;F;42;LAK;0;0;1
4060;Balmazújváros;F;23;LAK;0;1;2
6722;Szeged;;;SMB;0;1;2
9970;Szentgotthárd;M;33;LAK;0;1;2
2900;Komárom;F;43;LAK;0;1;2
1155;Budapest;;;SH+;0;0;1
8912;Nagypáli;F;38;LAK;0;0;1
1024;Budapest;F;66;LAK;0;0;1
1108;Budapest;M;23;LAK;0;1;1
4755;Ököritófülpös;F;58;LAK;0;1;1
4765;Csenger;F;43;LAK;0;1;1
3200;Gyöngyös;;;SMB;0;1;4
7400;Kaposvár;;;SH+;0;0;1
6060;Tiszakécske;F;21;LAK;0;1;2
2800;Tatabánya;M;59;LAK;0;1;1
3347;Balaton;F;40;LAK;0;1;1
8000;Székesfehérvár;F;40;LAK;0;1;1
7627;Pécs;F;48;LAK;0;1;2
2433;Sárosd;;;SMB;0;1;4
8700;Marcali;;;SMB;0;1;2
4032;Debrecen;;;TSS;0;1;1
1095;Budapest;;;TSS;0;1;1
1149;Budapest;F;50;LAK;0;1;3
8096;Sukoró;;;SH+;0;1;1
1211;Budapest;M;42;LAK;0;0;1
2370;Dabas;;;SMB;0;1;2
8143;Sárszentmihály;F;;LAK;0;0;1
6728;Szeged;;;SH+;0;1;1
5530;Vésztő;F;56;LAK;0;0;1
1165;Budapest;M;57;LAK;0;0;4
2315;Szigethalom;F;57;LAK;0;1;1
3528;Miskolc;M;51;LAK;0;0;1
7400;Kaposvár;M;63;LAK;0;1;1
1039;Budapest;F;43;LAK;0;0;2
1013;Budapest;;;LAK;0;0;1
8800;Nagykanizsa;F;40;LAK;0;0;1
8800;Nagykanizsa;;;SMB;0;1;1
6336;Szakmár;F;32;LAK;0;0;1
