dataset;subscriber;zip;sex;age;magan;uzleti;magenta_1;arpu;sim_4g
10.03;5846BF34;1147;M;36;1;0;0;3;1
10.03;585949AE;1087;M;53;1;0;0;1;1
10.03;582837BD;1215;M;49;1;0;0;1;1
10.03;581FF2EC;1022;F;38;1;0;0;5;1
10.03;58241EFB;1186;F;49;1;0;0;2;1
10.03;581F6BB3;1193;F;57;1;0;0;1;1
10.03;58101D3A;1108;M;21;1;0;0;1;1
10.03;5802462E;1123;F;56;1;0;0;1;0
10.03;584A3C56;1087;;;0;1;0;1;1
10.03;583E42C5;1051;;;0;1;0;5;1
10.03;582888D9;1161;;;0;1;0;2;1
10.03;585E8846;1013;F;46;1;0;0;2;1
10.03;584FB3AC;1224;F;61;1;0;0;2;1
10.03;580CBFC8;1173;F;25;1;0;0;2;1
10.03;584012B0;1149;F;29;1;0;0;3;1
10.03;583C417A;1034;F;71;1;0;0;1;1
10.03;5840E88B;1053;M;45;1;0;0;3;1
10.03;580310E3;1103;;;0;1;0;1;1
10.03;581EA1BD;1164;;;0;1;0;2;1
10.03;580A327D;1138;;;0;1;0;3;1
10.03;5842FF71;1039;M;66;1;0;0;2;0
10.03;580BF672;1163;F;56;1;0;0;2;1
10.03;58043563;1124;;;0;1;0;1;1
10.03;581E13DB;1453;;;0;1;0;1;1
10.03;583FADA6;1093;F;53;1;0;0;1;1
10.03;582EF6B4;1215;M;49;1;0;0;1;1
10.03;584A131C;1071;F;25;1;0;0;3;1
10.03;581FC47F;1085;;;0;1;0;1;1
10.03;5826089F;1082;M;30;1;0;0;1;1
10.03;58278C0B;1012;;;0;1;0;1;1
10.03;5847DE5E;1203;F;70;1;0;0;2;1
10.03;582C333E;1201;M;54;1;0;0;1;1
10.03;5830508B;1062;;;1;0;0;1;1
10.03;5801B48F;1147;;;0;1;0;1;1
10.03;583E196D;1193;;;1;0;0;1;1
10.03;58155B10;1041;M;29;1;0;0;1;1
10.03;58257E6B;1042;;;0;1;0;1;1
10.03;584C8526;1031;M;24;1;0;0;1;1
10.03;58114229;1051;;;0;1;0;1;1
10.03;5839303E;1188;;;1;1;0;2;1
10.03;58157C04;1048;M;50;1;0;0;1;1
10.03;5820F58B;1117;;;0;1;0;1;1
10.03;582EE95E;1131;;;0;1;0;1;1
10.03;583735FE;1157;F;51;1;0;0;2;0
10.03;583340D6;1062;F;23;1;0;0;2;1
10.03;583EDCC3;1021;F;32;1;0;0;1;1
10.03;582E87D4;1084;M;25;1;0;0;1;1
10.03;58171F6C;1453;;;0;1;0;1;1
10.03;580C8F01;1325;;;0;1;0;1;1
10.03;580F3208;1089;M;27;1;0;0;2;1
10.03;5835D67C;1113;;;0;1;0;1;0
10.03;580C0662;1238;M;19;1;0;0;3;1
10.03;5803EDDA;1048;M;61;1;0;0;3;0
10.03;58277365;1103;;;0;1;0;1;1
10.03;585CB9AF;1077;M;;1;0;0;1;0
10.03;58225B05;1103;;;0;1;0;1;1
10.03;581024BB;1453;;;0;1;0;1;1
10.03;584C0840;1053;M;54;1;0;0;1;1
10.03;580217C3;1222;;;0;1;0;1;1
10.03;580D76DA;1153;;;1;1;0;2;1
10.03;583A6896;1033;M;29;1;0;0;4;1
10.03;5846BD44;1095;F;47;1;0;0;1;1
10.03;58339E32;1117;;;1;0;0;1;0
10.03;5813B760;1161;;;1;1;0;1;0
10.03;583D8386;1138;;;1;1;0;3;1
10.03;5833028A;1037;;;0;1;0;1;1
10.03;5809736C;1138;;;1;1;0;1;1
10.03;582A39A2;1139;;;0;1;0;2;1
10.03;58048234;1453;;;0;1;0;1;1
10.03;583CC2CC;1139;;;0;1;0;2;1
10.03;5822681D;1026;;;0;1;0;1;0
10.03;585A37F2;1211;M;42;1;0;0;1;0
