TAC;manufacturer;model;aka;os;year;lte
106000;Unknown;Unknown;;;;
440015;Unknown;Unknown;;;;
440109;Lg;Test IMEI for multiple prototype models;Proto Type Device, This is a Test IMEI to be used with multiple prototype models. The frequency bands for each model may not match what is listed in this record;Proprietary;2008;0
440113;Research In Motion;Test IMEI for multiple prototype models;Proto Type Device, This is a Test IMEI to be used with multiple prototype models. The frequency bands for each model may not match what is listed in this record;Proprietary;2008;0
440213;Nokia;Test IMEI for multiple prototype models;Proto Type Device, This is a Test IMEI to be used with multiple prototype models. The frequency bands for each model may not match what is listed in this record;Symbian;2008;0
440214;Sony Ericsson;Test IMEI for multiple prototype models;Proto Type Device, This is a Test IMEI to be used with multiple prototype models. The frequency bands for each model may not match what is listed in this record;Proprietary;2008;0
440234;Lg;Test IMEI for multiple prototype models;This is a Test IMEI to be used with multiple prototype models. The frequency bands for each model may not match what is listed in this record, Test IMEI for multiple prototype models, Test IMEIFrequency Bands may not match;Proprietary;2011;0
440274;Nokia;Test IMEI for multiple prototype models;This is a Test IMEI to be used with multiple prototype models. The frequency bands for each model may not match what is listed in this record;;2014;
499901;Unknown;Unknown;;;;
1100900;Sierra Wireless;BAC;BAC-1051022-AA;Proprietary;2006;0
1101300;Wavecom;GR;GR-64 BAC-1051021-AA, GR-64 BAC-1051021-AA, Wavecom;Proprietary;2006;0
1110400;Enfora;GSM0308;GSM0308-71;Proprietary;2007;0
1110500;Enfora;GSM0308;GSM0308-70;Proprietary;2007;0
1110700;Enfora;GSM0308;GSM0308-10;Proprietary;2007;0
1136400;Apple;iPhone A1203;Apple iPhone, Inc.;iOS;2007;0
1141200;Shanghai Simcom;SIM340;SIM340/SIM340Z/SIM300, SIM340 SIM340Z SIM300;Proprietary;2007;0
1160600;Enfora;GSM0128;;Proprietary;2008;0
1171200;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc.;iOS;2008;0
1171300;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc.;iOS;2008;0
1174200;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc.;iOS;2008;0
1174300;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc.;iOS;2008;0
1174400;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc.;iOS;2008;0
1177100;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc.;iOS;2008;0
1177500;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc.;iOS;2008;0
1181100;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc.;iOS;2008;0
1181200;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc., iPhone 3G model MB496B;iOS;2008;0
1193500;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc.;iOS;2009;0
1193600;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc.;iOS;2009;0
1193700;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Apple;iOS;2009;0
1194800;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303), iPhone 3GS 32GB, Inc.;iOS;2009;0
1198100;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS - A1303 (AI0808), iPhone 3GS, Apple;iOS;2009;0
1198300;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS - A1303 (AI0808), iPhone 3GS, Apple;iOS;2009;0
1198500;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS - A1303 (AI0808), iPhone 3GS, Apple, iPhone 3GS model MC135LL/A;iOS;2009;0
1202000;Apple;iPhone 3G;iPhone 3G, A1241, iPhone 3G (A1241);iOS;2009;0
1202200;Apple;iPhone 3G;iPhone 3G, A1241, iPhone 3G (A1241);iOS;2009;0
1202500;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS - A1303 (AI0808), iPhone 3GS, Apple;iOS;2009;0
1202600;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS - A1303 (AI0808), iPhone 3GS, Apple;iOS;2009;0
1202700;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS - A1303 (AI0808), iPhone 3GS, Apple;iOS;2009;0
1202800;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS - A1303 (AI0808), iPhone 3GS, Apple;iOS;2009;0
1202900;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS - A1303 (AI0808), iPhone 3GS, Inc.;iOS;2009;0
1203000;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS - A1303 (AI0808), iPhone 3GS 32GB, Apple;iOS;2009;0
1203200;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS - A1303 (AI0808), iPhone 3GS, Apple;iOS;2009;0
1212000;Sonim Technologies;XP3;XP3.20-E (P22C001BB), XP3 20, XP3 20-EP22C001BB;Proprietary;2009;0
1215300;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303), iPhone 3GS, Inc.;iOS;2009;0
1215400;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303), iPhone 3GS, Inc.;iOS;2009;0
1215500;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303), iPhone 3GS, Inc.;iOS;2009;0
1215800;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303), iPhone 3GS, Inc.;iOS;2009;0
1215900;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303), iPhone 3GS, Inc., iPhone 3GS model MC131B;iOS;2009;0
1216000;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303), iPhone 3GS, Inc.;iOS;2009;0
1216100;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303), iPhone 3GS, Inc.;iOS;2009;0
1216400;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303), iPhone 3GS, Inc.;iOS;2009;0
1220700;Shanghai Simcom;SIM900,ION L1G2,GPRS14,DPK S1,TR;SIM900,ION L1G2,GPRS14,DPK S1,TR-203A;Proprietary;2010;0
1224900;Sony;J105i;J105i (AAD-3880052-BV), J105iAAD, J105iAAD-3880052-BV, Ericsson;Proprietary;2010;0
1226100;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303);iOS;2010;0
1226200;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303);iOS;2010;0
1226300;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303);iOS;2010;0
1226400;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303);iOS;2010;0
1226700;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303);iOS;2010;0
1229100;Sony;U10i;U10i (AAD-3880032-BV), U10iAAD, U10iAAD-3880032-BV, Ericsson;Proprietary;2010;0
1230500;Sony;U8i;U8i (AAD-3880077-BV), U8iAAD, U8iAAD-3880077-BV, Ericsson;Proprietary;2010;0
1231200;Sony-Ericsson;E10i;E10i (AAD-3880069-BV), E10iAAD, E10iAAD-3880069-BV;Proprietary;2010;0
1233600;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1233700;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc., iPhone 4 model MC603B;iOS;2010;0
1233800;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc., iPhone 4 model MC610LL;iOS;2010;0
1234100;Sony;W595;W595 (AAD-3052111-BV), W595AAD, W595AAD-3052111-BV, Ericsson;Proprietary;2010;0
1234200;Sony;U20i;U20i (AAD-3880072-BV), U20iAAD, U20iAAD-3880072-BV, Ericsson;Proprietary;2010;0
1237900;Sony Ericsson;X10i;X10i (AAD-3880056-BV, X10iAAD, X10iAAD-3880056-BV;Proprietary;2010;0
1238200;Sony Ericsson;Sony Ericsson W20i;Sony Ericsson W20i (AAD-3880083-BV), Sony Ericsson W20iAAD, Sony Ericsson W20iAAD-3880083-BV;Proprietary;2010;0
1239500;Sonim Technologies;XP3300;XP3300-E-R1 (P24C005AA), XP3300-E-R1P24C005AA;Proprietary;2010;0
1240300;Sony Ericsson;E10i;E10i (AAD-3880069-BV), E10iAAD, E10iAAD-3880069-BV;Proprietary;2010;0
1241600;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1241700;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1241800;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1241900;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1242000;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1242100;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1242200;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4 16GB,iPhone 4 32GB, Inc.;iOS;2010;0
1242300;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1242400;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1242500;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1242600;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1242700;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1242800;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1242900;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1243000;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc., iPhone 4 model MC603KS;iOS;2010;0
1243100;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4 16GB,iPhone 4 32GB, Inc.;iOS;2010;0
1244800;Sony Ericsson;E15i;E15i (AAD-3880091-BV), E15iAAD, E15iAAD-3880091-BV;Proprietary;2010;0
1245100;Sony;U5i;U5i (AAD-3880058-BV), U5iAAD, U5i Vivaz Kurara, U5iAAD-3880058-BV, Ericsson;Proprietary;2010;0
1246800;Sony Ericsson;U20i;U20i (AAD-3880072-BV), U20iAAD, U20iAAD-3880072-BV;Proprietary;2010;0
1248500;Sony Ericsson;J108i;J108i (AAD-3880095-BV), J108iAAD, J108iAAD-3880095-BV;Proprietary;2010;0
1249700;Shanghai Simcom;SIM900B;;Proprietary;2010;0
1253000;Sony Ericsson;W20i;W20i (AAD-3880083-BV), W20iAAD, W20iAAD-3880083-BV;Proprietary;2010;0
1253300;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4 16GB,iPhone 4 32GB;iOS;2010;0
1253400;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1253500;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1253600;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1253700;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1253800;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1253900;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1254000;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1254100;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4 16GB,iPhone 4 32GB;iOS;2010;0
