TAC;manufacturer;model;aka;os;year;lte
440015;Unknown;Unknown;;;;
1171300;Apple;iPhone 3G A1241;iPhone 3G, A1241, iPhone 3G A1241, iPhone 3G, Inc.;iOS;2008;0
1202900;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS - A1303 (AI0808), iPhone 3GS, Inc.;iOS;2009;0
1220700;Shanghai Simcom;SIM900,ION L1G2,GPRS14,DPK S1,TR;SIM900,ION L1G2,GPRS14,DPK S1,TR-203A;Proprietary;2010;0
1226200;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303);iOS;2010;0
1226400;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303);iOS;2010;0
1226500;Apple;iPhone 3GS;iPhone 3G S, A1303, iPhone 3GS (A1303);iOS;2010;0
1229100;Sony;U10i;U10i (AAD-3880032-BV), U10iAAD, U10iAAD-3880032-BV, Ericsson;Proprietary;2010;0
1234200;Sony;U20i;U20i (AAD-3880072-BV), U20iAAD, U20iAAD-3880072-BV, Ericsson;Proprietary;2010;0
1241800;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1242400;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1242500;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1242900;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4, Inc.;iOS;2010;0
1249700;Shanghai Simcom;SIM900B;;Proprietary;2010;0
1253700;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1253900;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1254100;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4 16GB,iPhone 4 32GB;iOS;2010;0
1254200;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1254300;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1261100;Sony Ericsson;J108i;J108i (AAD-3880095-BV), J108iAAD, J108iAAD-3880095-BV;Proprietary;2010;0
1263100;Sony Ericsson;U20i;U20i (AAD-3880072-BV), U20iAAD, U20iAAD-3880072-BV;Proprietary;2010;0
1265300;Apple;iPhone 4;iPhone 4 (A1332);iOS;2010;0
1268500;Sony Ericsson;E15i;E15i (AAD-3880091-BV), E15iAAD, E15iAAD-3880091-BV;Proprietary;2011;0
1270300;Sony Ericsson;MT15i;MT15i (AAD-3880100-BV), MT15iAAD, MT15iAAD-3880100-BV;Proprietary;2011;0
1274900;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1275300;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1275600;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1278900;Sony Ericsson;MK16i;MK16i (AAD-3880110-BV), MK16iAAD, MK16iAAD-3880110-BV;Proprietary;2011;0
1283600;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1283700;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4 16GB,iPhone 4 32GB;iOS;2011;0
1283800;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1283900;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1284000;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1284500;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1284800;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1284900;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1285100;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1293600;Apple;Apple iPhone 4S;Apple iPhone 4S (A1387);iOS;2011;0
1296100;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1296300;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1296400;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1300200;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1300500;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1300800;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1303100;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1303200;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1303400;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1303500;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1303800;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1303900;Apple;iPhone 4S;iPhone 4S (A1387), iPhone 4s;iOS;2011;0
1304200;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1304500;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1304600;Apple;iPhone 4S;iPhone 4S (A1387), iPhone 4s;iOS;2011;0
1304700;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1305300;Apple;iPhone 4S;iPhone 4S (A1387), iPhone 4s;iOS;2011;0
1305400;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1306100;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1306400;Apple;iPhone 4S;iPhone 4S (A1387), iPhone 4s;iOS;2011;0
1306800;Apple;iPhone 4S;iPhone 4S (A1387), iPhone 4s;iOS;2011;0
1307000;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2011;0
1312500;Apple;iPhone 4;iPhone 4 (A1332);iOS;2011;0
1312600;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4 16GB,iPhone 4 32GB;iOS;2011;0
1312700;Apple;iPhone 4;iPhone 4 (A1332), iPhone 4 16GB,iPhone 4 32GB;iOS;2011;0
1313700;Apple;Apple iPhone 4S;Apple iPhone 4S (A1431);iOS;2011;0
1317100;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1317400;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1317600;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1317800;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1318100;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1318300;Apple;iPhone 4S;iPhone 4S (A1387), iPhone 4s;iOS;2012;0
1319000;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1319100;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1319400;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1319500;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1319700;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1319900;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1320000;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1320300;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1320500;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1320600;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1320800;Apple;iPhone 4S;iPhone 4S (A1387);iOS;2012;0
1322600;Shanghai Simcom;SIM900;;Android;2012;0
1326300;Apple;Apple iPhone 4;Apple iPhone 4 (A1332), iPhone 4 16GB,iPhone 4 32GB;iOS;2012;0
1327000;Apple;Apple iPhone 4;Apple iPhone 4 (A1332);iOS;2012;0
1327100;Apple;Apple iPhone 4;Apple iPhone 4 (A1332);iOS;2012;0
1327200;Apple;Apple iPhone 4;Apple iPhone 4 (A1332);iOS;2012;0
1327600;Apple;Apple iPhone 4;Apple iPhone 4 (A1332);iOS;2012;0
1333500;Apple;Apple iPhone 5;iPhone 5 (A1428),A1428s, Apple iPhone 5 (A1428),A1428s;iOS;2012;1
1334500;Apple;Apple iPhone 5;A1429, Apple iPhone 5 (A1429);iOS;2012;1
1334600;Apple;Apple iPhone 5;A1429, Apple iPhone 5 (A1429);iOS;2012;1
1334900;Apple;Apple iPhone 5;A1429, Apple iPhone 5 (A1429);iOS;2012;1
1335000;Apple;Apple iPhone 5;A1429, Apple iPhone 5 (A1429);iOS;2012;1
