megye;varos;uzlet_tipus;uzlet_nev;uzlet_cim;ertekesites;ugyfelszolgalat;atvetel;latitude;longitude;nyitvatartas
Bács-Kiskun;Baja;Telekom partner;LTE-COM Kft.;6500 Baja, Csermák Mihály tér 4;1;1;1;46.183167299999994;18.9558647;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:00,Vasárnap: Zárva
Bács-Kiskun;Baja;Pick Pack Pont;Inmedio - Baja TESCO;Baja TESCO bevásárlóközpont 6500 Baja, Gránátos utca 11. (bejárattól jobbra a második üzlet a lottózóval szemben);0;0;1;46.1901986;18.935542899999998;Hétfő - Péntek: 9:00-20:00,Szombat: 8:00-20:00,Vasárnap: 9:00-17:00
Bács-Kiskun;Baja;Pick Pack Pont;MOL - Baja Szegedi út;6500 Baja, Szegedi út;0;0;1;46.18447399999999;18.974765100000003;Hétfő - Vasárnap: 5:00-21:00
Bács-Kiskun;Kalocsa;Telekom partner;LTE-COM Kft.;6300 Kalocsa, Szent István király út 74/A;1;1;1;46.5241605;18.981693399999997;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:00,Vasárnap: Zárva
Bács-Kiskun;Kalocsa;Pick Pack Pont;OMV-Kalocsa Bátyai u.;6300 Kalocsa, Bátyai utca 83;0;0;1;46.5133583;18.9727536;Hétfő - Vasárnap: 5:00-22:00
Bács-Kiskun;Kecskemét;Telekom partner;ELASTIC'91 Kft. (Auchan);6000 Kecskemét, Dunaföldvári út 2.;1;1;1;46.8994783;19.6760597;Hétfő - Szombat: 9:00-20:00,Vasárnap: 9:00-19:00
Bács-Kiskun;Kecskemét;Telekom üzlet;Kecskemét Malom;Kecskemét Malom bevásárlóközpont 6000 Kecskemét, Korona utca 2.;1;1;1;46.907407899999995;19.689162;Hétfő - Szombat: 9:00-19:00,Vasárnap: 10:00-18:00
Bács-Kiskun;Kecskemét;Pick Pack Pont;Inmedio-Kecskemét Auchan;Auchan bevásárlóközpont 6000 Kecskemét, Dunaföldvári utca 2 (Auchan üzletközpont (Pólus Róna) középső bejáratnál);0;0;1;46.8886243;19.6333994;Hétfő - Szombat: 9:00-20:00,Vasárnap: 9:00-17:00
Bács-Kiskun;Kecskemét;Pick Pack Pont;Inmedio-Kecskemét Budai piac;6000 Kecskemét, Budai piac 2;0;0;1;46.8963711;19.6896861;Hétfő: Zárva,Kedd - Szombat: 5:30-12:30,Vasárnap: 5:30-11:30
Bács-Kiskun;Kecskemét;Pick Pack Pont;Inmedio-Kecskemét Malom Center;Malom bevásárlóközpont 6000 Kecskemét, Korona utca 2 (Malom üzletközpont P1 szint a dm mellett);0;0;1;46.907407899999995;19.689162;Hétfő - Szombat: 9:00-20:00,Vasárnap: 10:00-18:00
